lab.id,site,unique.id,moisture.trt,temp.trt,cumulativeCO2Flux,GWC,VWC,soil.pH,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
201,BART,BART_S_T0_P26,40,15,2.346671679,65.55140671,32.33333333,5.18,44.06388,-71.28731,6.2,1325,232
202,GRSM,GRSM_S_T0_P14,40,15,2.214681755,21.96572298,8.8,4.66,35.68896,-83.50195,13.1,1375,579
203,GRSM,GRSM_S_T0_P22,40,15,1.822726976,36.78869518,24.03333333,4.59,35.68896,-83.50195,13.1,1375,579
204,GRSM,GRSM_S_T0_P26,40,15,1.889831118,54.35919371,49.6,5.3,35.68896,-83.50195,13.1,1375,579
205,LENO,LENO_S_T0_P02,40,15,1.55049242,23.10139553,19.2,5.5,31.85388,-88.16122,18.1,1386,20
206,LENO,LENO_S_T0_P08,40,15,1.436545502,23.9842933,23.83333333,5.81,31.85388,-88.16122,18.1,1386,20
207,LENO,LENO_S_T0_P12,40,15,1.891274467,48.08277783,49.7,4.87,31.85388,-88.16122,18.1,1386,20
208,SERC,SERC_S_T0_P08,40,15,1.51708777,29.04578374,31.6,5.48,38.89008,-76.56001,13.6,1075,15
209,SERC,SERC_S_T0_P09,40,15,1.477362722,30.41308729,34,4.83,38.89008,-76.56001,13.6,1075,15
210,SERC,SERC_S_T0_P19,40,15,1.725169004,28.12844298,38.93333333,6.54,38.89008,-76.56001,13.6,1075,15
211,TALL,TALL_S_T0_P08,40,15,1.7154794,36.78445904,45.4,4.61,32.95046,-87.39327,17.2,1383,135
212,TALL,TALL_S_T0_P09,40,15,1.438482898,10.92916429,6.1,4.86,32.95046,-87.39327,17.2,1383,135
213,TALL,TALL_S_T0_P29,40,15,1.411284586,5.913222753,1.533333333,4.93,32.95046,-87.39327,17.2,1383,135
